 A Circular Ring with Specified Tempterature                  25-MAR-04
     360     0                       ! No. of Elements, No. Field Points
 #Nodes:
         1   0.1000000000000000E+01   0.0000000000000000E+00
         2   0.9993908405303955E+00   0.3489949554204941E-01
         3   0.9975640773773193E+00   0.6975647062063217E-01
         4   0.9945219159126282E+00   0.1045284643769264E+00
         5   0.9902680516242981E+00   0.1391731053590775E+00
         6   0.9848077297210693E+00   0.1736481785774231E+00
         7   0.9781476259231567E+00   0.2079116851091385E+00
         8   0.9702957272529602E+00   0.2419219017028809E+00
         9   0.9612616896629333E+00   0.2756373584270477E+00
        10   0.9510565400123596E+00   0.3090170025825500E+00
        11   0.9396926164627075E+00   0.3420201539993286E+00
        12   0.9271838665008545E+00   0.3746065795421600E+00
        13   0.9135454297065735E+00   0.4067366421222687E+00
        14   0.8987940549850464E+00   0.4383711516857147E+00
        15   0.8829475641250610E+00   0.4694715738296509E+00
        16   0.8660253882408142E+00   0.5000000000000000E+00
        17   0.8480480909347534E+00   0.5299192667007446E+00
        18   0.8290375471115112E+00   0.5591928958892822E+00
        19   0.8090170025825500E+00   0.5877852439880371E+00
        20   0.7880107760429382E+00   0.6156615018844604E+00
        21   0.7660444378852844E+00   0.6427876353263855E+00
        22   0.7431448101997375E+00   0.6691306233406067E+00
        23   0.7193397879600525E+00   0.6946583986282349E+00
        24   0.6946583986282349E+00   0.7193397879600525E+00
        25   0.6691306233406067E+00   0.7431448101997375E+00
        26   0.6427876353263855E+00   0.7660444378852844E+00
        27   0.6156615018844604E+00   0.7880107760429382E+00
        28   0.5877852439880371E+00   0.8090170025825500E+00
        29   0.5591928958892822E+00   0.8290375471115112E+00
        30   0.5299192667007446E+00   0.8480480909347534E+00
        31   0.5000000000000000E+00   0.8660253882408142E+00
        32   0.4694715738296509E+00   0.8829475641250610E+00
        33   0.4383711516857147E+00   0.8987940549850464E+00
        34   0.4067366421222687E+00   0.9135454297065735E+00
        35   0.3746065795421600E+00   0.9271838665008545E+00
        36   0.3420201539993286E+00   0.9396926164627075E+00
        37   0.3090170025825500E+00   0.9510565400123596E+00
        38   0.2756373584270477E+00   0.9612616896629333E+00
        39   0.2419219017028809E+00   0.9702957272529602E+00
        40   0.2079116851091385E+00   0.9781476259231567E+00
